player_id,player_name,player_url,team_code,season,number,pos,height,weight,birth_date,experience,college
clarkal01w,Alysha Clark,https://www.basketball-reference.com/wnba/players/c/clarkal01w.html,SEA,2025,32,F,5-11,167,"July 7, 1987",12,Middle Tennessee
cookezi01w,Zia Cooke,https://www.basketball-reference.com/wnba/players/c/cookezi01w.html,SEA,2025,7,G,5-9,163,"January 9, 2001",2,South Carolina
diggisk01w,Skylar Diggins,https://www.basketball-reference.com/wnba/players/d/diggisk01w.html,SEA,2025,4,G,5-9,140,"August 2, 1990",10,Notre Dame
holmema01w,Mackenzie Holmes,https://www.basketball-reference.com/wnba/players/h/holmema01w.html,SEA,2025,54,F,6-3,185,"November 1, 2000",R,Indiana
magbeez01w,Ezi Magbegor,https://www.basketball-reference.com/wnba/players/m/magbeez01w.html,SEA,2025,13,F-C,6-6,181,"August 13, 1999",5,
malondo01w,Dominique Malonga,https://www.basketball-reference.com/wnba/players/m/malondo01w.html,SEA,2025,14,C,6-6,,"November 16, 2005",R,
mitchti01w,Tiffany Mitchell,https://www.basketball-reference.com/wnba/players/m/mitchti01w.html,SEA,2025,25,G,5-9,169,"September 23, 1994",9,South Carolina
ogwumnn01w,Nneka Ogwumike,https://www.basketball-reference.com/wnba/players/o/ogwumnn01w.html,SEA,2025,3,F,6-2,190,"July 2, 1990",13,Stanford
sykesbr01w,Brittney Sykes,https://www.basketball-reference.com/wnba/players/s/sykesbr01w.html,SEA,2025,20,G,5-11,152,"February 7, 1994",8,Syracuse
wheeler01w,Erica Wheeler,https://www.basketball-reference.com/wnba/players/w/wheeler01w.html,SEA,2025,17,G,5-7,143,"May 2, 1991",9,Rutgers University
williga01w,Gabby Williams,https://www.basketball-reference.com/wnba/players/w/williga01w.html,SEA,2025,5,F,5-11,172,"September 9, 1996",6,UConn
yueruli01w,Li Yueru,https://www.basketball-reference.com/wnba/players/y/yueruli01w.html,SEA,2025,28,C,6-7,,"March 28, 1999",2,
austish01w,Shakira Austin,https://www.basketball-reference.com/wnba/players/a/austish01w.html,WAS,2025,0,C,6-5,200,"July 25, 2000",3,"Maryland, Ole Miss"
citroso01w,Sonia Citron,https://www.basketball-reference.com/wnba/players/c/citroso01w.html,WAS,2025,22,G,6-1,175,"October 22, 2003",R,Notre Dame
clarkal01w,Alysha Clark,https://www.basketball-reference.com/wnba/players/c/clarkal01w.html,WAS,2025,32,F,5-11,167,"July 7, 1987",12,Middle Tennessee
dolsost01w,Stefanie Dolson,https://www.basketball-reference.com/wnba/players/d/dolsost01w.html,WAS,2025,31,C,6-5,235,"January 8, 1992",11,UConn
edwaraa01w,Aaliyah Edwards,https://www.basketball-reference.com/wnba/players/e/edwaraa01w.html,WAS,2025,24,F,6-3,206,"July 9, 2002",1,UConn
engstem01w,Emily Engstler,https://www.basketball-reference.com/wnba/players/e/engstem01w.html,WAS,2025,21,F,6-1,184,"May 1, 2000",3,"Syracuse, Louisville"
iriafki01w,Kiki Iriafen,https://www.basketball-reference.com/wnba/players/i/iriafki01w.html,WAS,2025,44,F,6-3,202,"August 26, 2003",R,"Stanford, USC"
konesi01w,Sika Koné,https://www.basketball-reference.com/wnba/players/k/konesi01w.html,WAS,2025,3,F,6-3,180,"July 13, 2002",2,
melboja01w,Jade Melbourne,https://www.basketball-reference.com/wnba/players/m/melboja01w.html,WAS,2025,5,G,5-10,145,"August 18, 2002",2,
olsenlu01w,Lucy Olsen,https://www.basketball-reference.com/wnba/players/o/olsenlu01w.html,WAS,2025,33,G,5-10,141,"May 26, 2003",R,"Villanova, Iowa"
scottma01w,Madison Scott,https://www.basketball-reference.com/wnba/players/s/scottma01w.html,WAS,2025,6,G-F,6-2,,"December 27, 2001",R,Ole Miss
sheldja01w,Jacy Sheldon,https://www.basketball-reference.com/wnba/players/s/sheldja01w.html,WAS,2025,4,G,5-10,140,"August 23, 2000",1,Ohio State
suttosu01w,Sug Sutton,https://www.basketball-reference.com/wnba/players/s/suttosu01w.html,WAS,2025,1,G,5-8,140,"December 17, 1998",3,Texas
sykesbr01w,Brittney Sykes,https://www.basketball-reference.com/wnba/players/s/sykesbr01w.html,WAS,2025,20,G,5-11,152,"February 7, 1994",8,Syracuse
borlais01w,Isobel Borlase,https://www.basketball-reference.com/wnba/players/b/borlais01w.html,ATL,2026,0,G,5-11,,"September 12, 2004",R,
canadjo01w,Jordin Canada,https://www.basketball-reference.com/wnba/players/c/canadjo01w.html,ATL,2026,3,G,5-6,135,"August 11, 1995",8,UCLA
grayal01w,Allisha Gray,https://www.basketball-reference.com/wnba/players/g/grayal01w.html,ATL,2026,15,G,6-0,167,"January 12, 1995",9,"UNC, South Carolina"
hillmna01w,Naz Hillmon,https://www.basketball-reference.com/wnba/players/h/hillmna01w.html,ATL,2026,00,F,6-2,190,"April 5, 2000",4,Michigan
howarrh01w,Rhyne Howard,https://www.basketball-reference.com/wnba/players/h/howarrh01w.html,ATL,2026,10,G,6-2,175,"April 29, 2000",4,Kentucky
jonesbr01w,Brionna Jones,https://www.basketball-reference.com/wnba/players/j/jonesbr01w.html,ATL,2026,24,F,6-3,215,"December 18, 1995",9,"Maryland, Maryland"
konesi01w,Sika Koné,https://www.basketball-reference.com/wnba/players/k/konesi01w.html,ATL,2026,23,F,6-3,180,"July 13, 2002",3,
nivarin01w,Indya Nivar(DC),https://www.basketball-reference.com/wnba/players/n/nivarin01w.html,ATL,2026,21,G,5-10,,"January 16, 2004",R,"Stanford, UNC"
nyeaa01w,Aaliyah Nye,https://www.basketball-reference.com/wnba/players/n/nyeaa01w.html,ATL,2026,32,G-F,6-0,,"August 14, 2002",1,"Illinois, Alabama"
okonkam01w,Amy Okonkwo,https://www.basketball-reference.com/wnba/players/o/okonkam01w.html,ATL,2026,0,F,6-2,,"August 26, 1996",1,"USC, USC, TCU, TCU"
okotma01w,Madina Okot,https://www.basketball-reference.com/wnba/players/o/okotma01w.html,ATL,2026,11,C,6-6,,"August 23, 2004",R,"Zetech University, Mississippi State, South Carolina"
paopate01w,Te-Hina PaoPao,https://www.basketball-reference.com/wnba/players/p/paopate01w.html,ATL,2026,2,G,5-9,,"August 21, 2002",1,"Oregon, South Carolina"
reesean01w,Angel Reese,https://www.basketball-reference.com/wnba/players/r/reesean01w.html,ATL,2026,5,F,6-4,165,"May 6, 2002",2,"Maryland, LSU"
sherrja01w,Jaylyn Sherrod(DC),https://www.basketball-reference.com/wnba/players/s/sherrja01w.html,ATL,2026,0,G,5-7,147,"October 21, 2001",2,Colorado
walkesh01w,Shatori Walker-Kimbrough,https://www.basketball-reference.com/wnba/players/w/walkesh01w.html,ATL,2026,,G,5-9,140,"May 18, 1995",9,Maryland
banhara01w,Rachel Banham,https://www.basketball-reference.com/wnba/players/b/banhara01w.html,CHI,2026,24,G,5-10,181,"July 15, 1993",10,Minnesota
bibbych01w,Chloe Bibby(DC),https://www.basketball-reference.com/wnba/players/b/bibbych01w.html,CHI,2026,,F,6-2,194,"June 15, 1998",1,"Mississippi State, Maryland"
cardoka01w,Kamilla Cardoso,https://www.basketball-reference.com/wnba/players/c/cardoka01w.html,CHI,2026,10,C,6-7,215,"April 30, 2001",2,"Syracuse, South Carolina"
carridi01w,DiJonai Carrington,https://www.basketball-reference.com/wnba/players/c/carridi01w.html,CHI,2026,3,G-F,5-11,175,"January 8, 1998",5,"Stanford, Stanford, Baylor, Baylor"
cloudna01w,Natasha Cloud,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,CHI,2026,9,G,5-10,160,"February 22, 1992",10,"Maryland, Saint Joseph's"
couliai01w,Aicha Coulibaly(DC),https://www.basketball-reference.com/wnba/players/c/couliai01w.html,CHI,2026,35,G,6-0,,"October 18, 2001",R,"Auburn, Texas A&M"
diggisk01w,Skylar Diggins,https://www.basketball-reference.com/wnba/players/d/diggisk01w.html,CHI,2026,4,G,5-9,140,"August 2, 1990",11,Notre Dame
jacksri02w,Rickea Jackson,https://www.basketball-reference.com/wnba/players/j/jacksri02w.html,CHI,2026,5,F,6-2,175,"March 16, 2001",2,"Mississippi State, Tennessee"
jaquega01w,Gabriela Jaquez,https://www.basketball-reference.com/wnba/players/j/jaquega01w.html,CHI,2026,11,G,6-0,,"November 19, 2003",R,UCLA
sheldja01w,Jacy Sheldon,https://www.basketball-reference.com/wnba/players/s/sheldja01w.html,CHI,2026,0,G,5-10,140,"August 23, 2000",2,Ohio State
steveaz01w,Azura Stevens,https://www.basketball-reference.com/wnba/players/s/steveaz01w.html,CHI,2026,23,F-C,6-6,180,"February 1, 1996",8,"Duke, Duke, UConn, UConn"
taylosy01w,Sydney Taylor,https://www.basketball-reference.com/wnba/players/t/taylosy01w.html,CHI,2026,12,G,5-9,,"June 21, 2001",R,"UMass, Louisville"
vandeco01w,Courtney Vandersloot,https://www.basketball-reference.com/wnba/players/v/vandeco01w.html,CHI,2026,22,G,5-8,137,"February 8, 1989",15,Gonzaga
westbma01w,Maddy Westbeld(DC),https://www.basketball-reference.com/wnba/players/w/westbma01w.html,CHI,2026,21,F,6-3,,"February 10, 2002",1,Notre Dame
williel01w,Elizabeth Williams,https://www.basketball-reference.com/wnba/players/w/williel01w.html,CHI,2026,1,C-F,6-3,200,"June 23, 1993",11,Duke
anglone01w,Nell Angloma,https://www.basketball-reference.com/wnba/players/a/anglone01w.html,CON,2026,33,F,6-1,,"June 12, 2006",R,
beersra01w,Raegan Beers,https://www.basketball-reference.com/wnba/players/b/beersra01w.html,CON,2026,15,F,6-4,244,"July 23, 2003",R,"Oregon State, Oklahoma"
burkeke01w,Kennedy Burke,https://www.basketball-reference.com/wnba/players/b/burkeke01w.html,CON,2026,22,G-F,6-1,199,"February 14, 1997",6,"UCLA, UCLA"
edwaraa01w,Aaliyah Edwards,https://www.basketball-reference.com/wnba/players/e/edwaraa01w.html,CON,2026,8,F,6-3,206,"July 9, 2002",2,UConn
grinebr01w,Brittney Griner,https://www.basketball-reference.com/wnba/players/g/grinebr01w.html,CON,2026,42,C,6-9,219,"October 18, 1990",12,Baylor
jacksas01w,Ashlon Jackson(DC),https://www.basketball-reference.com/wnba/players/j/jacksas01w.html,CON,2026,3,G,6-0,170,"January 6, 2004",R,Duke
kneepgi01w,Gianna Kneepkens,https://www.basketball-reference.com/wnba/players/k/kneepgi01w.html,CON,2026,5,G,5-11,174,"March 4, 2003",R,"Utah, UCLA"
lacanle01w,Leïla Lacan,https://www.basketball-reference.com/wnba/players/l/lacanle01w.html,CON,2026,47,G,5-11,,"June 2, 2004",1,
legerch01w,Charlisse Leger-Walker,https://www.basketball-reference.com/wnba/players/l/legerch01w.html,CON,2026,4,G,5-10,190,"September 15, 2001",R,"Washington State, UCLA"
milledi03w,Diamond Miller,https://www.basketball-reference.com/wnba/players/m/milledi03w.html,CON,2026,1,F,6-1,178,"February 11, 2001",3,Maryland
morroan02w,Aneesah Morrow,https://www.basketball-reference.com/wnba/players/m/morroan02w.html,CON,2026,24,F,6-1,178,"February 2, 2003",1,"DePaul, LSU"
nelsool01w,Olivia Nelson-Ododa,https://www.basketball-reference.com/wnba/players/n/nelsool01w.html,CON,2026,10,C,6-5,179,"August 17, 2000",4,UConn
