Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
71,5186541545,bomclean12 (60/150),0,222,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Natasha Cloud G Rae Burrell UTIL Paige Bueckers,,Janelle Salaun,UTIL,0.81%,35.75
71,5186628286,billsmia (6/9),0,222,F Jessica Shepard F Laura Juskaite F Emma Cannon G Paige Bueckers G Marina Mabrey UTIL Rae Burrell,,Isabelle Harrison,UTIL,0.77%,32
76,5186235690,tbjones2121 (1/40),0,221.75,F Jessica Shepard F Laura Juskaite F Laeticia Amihere G Paige Bueckers G Marina Mabrey UTIL Kaila Charles,,Laura Juskaite,UTIL,0.71%,38.75
76,5186268213,Ocin_D_Clown (45/150),0,221.75,F Jessica Shepard F Laura Juskaite F Laeticia Amihere G Paige Bueckers G Marina Mabrey UTIL Kaila Charles,,Kia Nurse,UTIL,0.71%,2.75
76,5186619151,sirjerkins (83/150),0,221.75,F Jessica Shepard F Laura Juskaite F Laeticia Amihere G Paige Bueckers G Kaila Charles UTIL Marina Mabrey,,Aicha Coulibaly,UTIL,0.64%,7.75
79,5186268308,Ocin_D_Clown (140/150),0,221.5,F Jessica Shepard F Laura Juskaite F Laeticia Amihere G Marina Mabrey G Arike Ogunbowale UTIL Dearica Hamby,,Kayla Thornton,UTIL,0.60%,8
79,5186502996,bruce-Leee (11/18),0,221.5,F Nneka Ogwumike F Awak Kuier F Laura Juskaite G Paige Bueckers G Rae Burrell UTIL Janelle Salaun,,Raegan Beers,UTIL,0.50%,6.5
81,5186235728,tbjones2121 (39/40),0,221.25,F Nneka Ogwumike F Laura Juskaite F Alanna Smith G Paige Bueckers G Marina Mabrey UTIL Ariel Atkins,,Nell Angloma,UTIL,0.50%,18.25
81,5186318686,504ant (16/40),0,221.25,F Jessica Shepard F Nneka Ogwumike F Laura Juskaite G Arike Ogunbowale G Rae Burrell UTIL Sydney Taylor,,Gabby Williams,F,0.46%,0
81,5186377199,mythicalrhymer01 (12/20),0,221.25,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Paige Bueckers G Arike Ogunbowale UTIL Sydney Taylor,,Jihyun Park,UTIL,0.42%,1.25
81,5186500797,Skipper55 (6/150),0,221.25,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Paige Bueckers G Arike Ogunbowale UTIL Sydney Taylor,,Aicha Coulibaly,G,0.41%,7.75
81,5186573626,ljb33bc102 (53/100),0,221.25,F Jessica Shepard F Nneka Ogwumike F Laura Juskaite G Arike Ogunbowale G Sydney Taylor UTIL Rae Burrell,,Kiah Stokes,UTIL,0.41%,13.5
86,5186267084,PokerChump (9/10),0,221,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Marina Mabrey G Tiffany Hayes UTIL Nneka Ogwumike,,Aziaha James,G,0.38%,4
86,5186500830,Skipper55 (39/150),0,221,F Nneka Ogwumike F Laura Juskaite F Alanna Smith G Paige Bueckers G Erica Wheeler UTIL Dearica Hamby,,Teonni Key,F,0.35%,2
86,5186539257,aquafinatim (104/150),0,221,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Marina Mabrey G Tiffany Hayes UTIL Nneka Ogwumike,,Maria Conde,UTIL,0.35%,28.75
86,5186548932,khp5050 (27/60),0,221,F Dearica Hamby F Azura Stevens F Laura Juskaite G Paige Bueckers G Rae Burrell UTIL Ariel Atkins,,Kiana Williams,UTIL,0.34%,9
86,5186619138,sirjerkins (70/150),0,221,F Nneka Ogwumike F Laura Juskaite F Alanna Smith G Paige Bueckers G Marina Mabrey UTIL Erica Wheeler,,Aaliyah Edwards,UTIL,0.31%,16.5
86,5186664437,monarch11 (32/38),0,221,F Dearica Hamby F Azura Stevens F Laura Juskaite G Paige Bueckers G Ariel Atkins UTIL Rae Burrell,,Rachel Banham,UTIL,0.28%,3.75
86,5186669096,darrylposton (34/50),0,221,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Marina Mabrey G Tiffany Hayes UTIL Nneka Ogwumike,,Jacy Sheldon,UTIL,0.28%,17.5
93,5186397700,soonerdallas (38/54),0,220.75,F Isabelle Harrison F Janelle Salaun F Laura Juskaite G Natasha Cloud G Arike Ogunbowale UTIL Nneka Ogwumike,,Gabriela Jaquez,G,0.25%,21.25
93,5186476812,jwclark311 (29/150),0,220.75,F Dearica Hamby F Azura Stevens F Laura Juskaite G Paige Bueckers G Erica Wheeler UTIL Rae Burrell,,Jacy Sheldon,G,0.25%,17.5
93,5186636914,ibeetcancer (1/6),0,220.75,F Dearica Hamby F Azura Stevens F Laura Juskaite G Paige Bueckers G Rae Burrell UTIL Erica Wheeler,,Aziaha James,UTIL,0.25%,4
96,5186268297,Ocin_D_Clown (129/150),0,220.5,F Jessica Shepard F Laura Juskaite F Raegan Beers G Marina Mabrey G Arike Ogunbowale UTIL Paige Bueckers,,Cecilia Zandalasini,UTIL,0.24%,7.75
96,5186436732,MoneyRai55 (4/10),0,220.5,F Nneka Ogwumike F Isabelle Harrison F Laura Juskaite G Ariel Atkins G Kaitlyn Chen UTIL Jessica Shepard,,Tima Pouye,G,0.22%,4.75
96,5186498277,Bsaun32 (78/150),0,220.5,F Jessica Shepard F Laura Juskaite F Raegan Beers G Marina Mabrey G Arike Ogunbowale UTIL Paige Bueckers,,Kate Martin,UTIL,0.22%,6
96,5186504710,bruce-Leee (13/18),0,220.5,F Nneka Ogwumike F Dearica Hamby F Laura Juskaite G Natasha Cloud G Rae Burrell UTIL Janelle Salaun,,Kiana Williams,G,0.18%,9
96,5186611082,michaelaedelstein (51/98),0,220.5,F Jessica Shepard F Laura Juskaite F Raegan Beers G Marina Mabrey G Arike Ogunbowale UTIL Paige Bueckers,,Chance Gray,UTIL,0.17%,0
101,5186160799,afcgreen27 (16/38),0,220.25,F Jessica Shepard F Nneka Ogwumike F Dearica Hamby G Erica Wheeler G Ariel Atkins UTIL Kiana Williams,,Maddy Siegrist,UTIL,0.15%,0
101,5186177726,mcrauswell (2/5),0,220.25,F Jessica Shepard F Nneka Ogwumike F Dearica Hamby G Erica Wheeler G Ariel Atkins UTIL Kiana Williams,,Gianna Kneepkens,G,0.14%,3.25
103,5186428091,Wanna_Square_Up1567 (26/150),0,220,F Nneka Ogwumike F Janelle Salaun F Laura Juskaite G Natasha Cloud G Erica Wheeler UTIL Kamilla Cardoso,,Rachel Banham,G,0.11%,3.75
104,5186264614,bellsofwar3 (28/60),0,219.75,F Nneka Ogwumike F Janelle Salaun F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Sydney Taylor,,Odyssey Sims,UTIL,0.10%,10.25
104,5186316463,ivymoose (39/64),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Tiffany Hayes,,Emma Cannon,UTIL,0.10%,14.5
104,5186377195,mythicalrhymer01 (8/20),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Tiffany Hayes,,Laeticia Amihere,UTIL,0.08%,24.25
104,5186397702,soonerdallas (40/54),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Marina Mabrey G Tiffany Hayes UTIL Paige Bueckers,,Li Yueru,F,0.08%,0
104,5186418065,cptnspaulding (74/150),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Marina Mabrey G Tiffany Hayes UTIL Paige Bueckers,,Tima Pouye,UTIL,0.07%,4.75
104,5186539164,aquafinatim (11/150),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Tiffany Hayes,,Aneesah Morrow,F,0.07%,0
104,5186585146,aarontdyson (139/150),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Tiffany Hayes,,Odyssey Sims,G,0.07%,10.25
104,5186664416,monarch11 (11/38),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Tiffany Hayes,,Teonni Key,UTIL,0.06%,2
104,5186669098,darrylposton (36/50),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Tiffany Hayes,,Chance Gray,G,0.03%,0
104,5186670105,ChickenDinner1970 (48/100),0,219.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Tiffany Hayes UTIL Marina Mabrey,,Hailey Van Lith,UTIL,0.03%,5
114,5186261880,ecreston (2/9),0,219.25,F Nneka Ogwumike F Dearica Hamby F Laura Juskaite G Veronica Burton G Arike Ogunbowale UTIL Kaila Charles,,Maddy Westbeld,F,0.01%,0
114,5186338525,milligolf (39/150),0,219.25,F Nneka Ogwumike F Dearica Hamby F Laura Juskaite G Veronica Burton G Arike Ogunbowale UTIL Kaila Charles,,Li Yueru,UTIL,0.01%,0
114,5186370102,djsollinger (10/20),0,219.25,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Julie Allemand UTIL Dearica Hamby,,Sug Sutton,G,0.01%,0
114,5186500824,Skipper55 (33/150),0,219.25,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Rae Burrell UTIL Natasha Cloud,,Kate Martin,G,0.01%,6
